trade,price_enter,price_exit,gross_return,enter_period,exit_period
0,221.35,220.82,0.9976056019878021,196,216
1,220.5,220.68,1.0008163265306123,267,287
2,223.23,227.53,1.0192626439098689,343,363
3,217.24,215.82,0.9934634505615908,658,664
4,214.26,213.43,0.9961262018108841,786,806
5,214.88,216.51,1.0075856291883842,956,976
6,217.25,218.64,1.006398158803222,995,1015
7,217.65,218.59,1.0043188605559383,1173,1193
8,219.89,220.6,1.0032288871708581,1231,1251
9,220.31,221.02,1.0032227316054652,1355,1375
10,221.36,222.62,1.0056920852909288,1438,1458
11,222.36,222.36,1.0,1654,1674
12,222.8,223.89,1.0048922800718132,1675,1695
13,224.56,226.97,1.0107320983256145,1860,1880
14,228.22,228.81,1.002585224783104,1940,1960
15,230.37,232.18,1.0078569258149932,2054,2074
16,231.91,233.25,1.0057781035746627,2339,2359
17,232.69,232.34,0.9984958528514333,2405,2425
18,229.25,227.76,0.9935005452562704,2535,2555
19,228.69,228.99,1.0013118194936377,2657,2677
20,229.65,229.1,0.997605051164816,2869,2889
21,228.18,227.57,0.9973266719256727,3034,3054
22,229.1,230.32,1.0053251855085115,3133,3153
23,230.02,230.36,1.0014781323363187,3181,3201
24,228.26,227.1654,0.9952045912555858,3423,3427
25,222.87,223.13,1.0011665993628571,3607,3627
26,223.54,223.27,0.9987921624765144,3975,3995
27,226.85,226.47,0.9983248842847697,4028,4048
28,227.65,226.68,0.9957390731385899,4140,4160
29,226.54,226.57,1.000132426944469,4200,4220
30,226.48,225.11,0.9939509007417875,4317,4337
31,225.83,226.63,1.0035424877119956,4390,4410
32,222.71,220.60170000000002,0.990533429123075,4794,4800
33,223.13,222.91,0.9990140276968583,4881,4901
34,221.92,222.63,1.00319935111752,4964,4984
35,222.08,221.6,0.9978386167146973,5053,5073
36,227.12,225.64,0.9934836209933074,5332,5352
37,226.94,227.11,1.000749096677536,5424,5444
38,226.95,228.85,1.0083718880810753,5611,5631
39,228.13,227.93,0.9991233068864245,5752,5772
40,228.5,228.7,1.0008752735229758,5807,5827
41,230.59,230.47,0.9994795958194197,5842,5862
42,232.33,233.83,1.0064563336633237,6005,6025
43,231.38,231.92,1.002333823148068,6230,6250
44,232.08,231.55,0.9977163047225095,6385,6405
45,231.99,231.83,0.9993103150997888,6456,6476
46,229.0,230.05,1.004585152838428,6845,6865
47,228.96,229.31,1.001528651292802,6995,7015
48,229.81,232.19,1.0103563813585135,7020,7040
49,233.16,233.05,0.9995282209641448,7042,7062
50,235.14,235.16,1.000085055711491,7083,7103
51,235.63,235.41,0.9990663328099139,7155,7175
52,238.36,238.07,0.9987833529115623,7372,7392
53,240.56,238.986,0.9934569338210841,7418,7435
54,237.09,236.67,0.9982285208148803,7544,7564
55,235.45,236.13,1.0028880866425993,7665,7685
56,238.38,238.57,1.0007970467321083,7880,7900
57,240.09,240.09,1.0,7998,8018
58,239.74,240.08,1.0014182030533079,8072,8092
59,241.84,244.8,1.0122394971882236,8109,8129
60,245.84,243.6489,0.9910872925479987,8152,8160
61,242.86,242.55,0.9987235444288891,8436,8456
62,242.76,242.18,0.9976108090294942,8461,8481
63,244.22,244.8,1.0023749078699533,8737,8757
64,243.95,243.78,0.9993031358885018,8821,8841
65,244.24,245.2,1.003930560104815,8872,8892
66,246.25,244.1142,0.9913267005076143,8899,8914
67,244.55,245.31,1.0031077489265998,9044,9064
68,248.05,249.92,1.0075388026607537,9128,9148
69,229.48,229.4,0.9996513857416769,10117,10137
70,230.03,230.94,1.0039560057383818,10193,10213
71,218.26,216.6318,0.9925400898011546,10507,10519
72,209.81,209.2068,0.9971250178733139,10911,10927
